Time,People_Count,Status
2026-02-02 10:23:28.876628,1,SAFE
2026-02-02 10:23:33.660761,1,SAFE
2026-02-02 10:23:34.038808,1,SAFE
2026-02-02 10:23:40.241706,1,SAFE
2026-02-02 10:23:46.368921,1,SAFE
2026-02-02 10:23:52.486035,0,SAFE
2026-02-02 10:24:00.176743,0,SAFE
2026-02-02 10:24:04.107707,0,SAFE
2026-02-02 10:24:07.645652,1,SAFE
2026-02-02 10:24:13.942265,1,SAFE
2026-02-02 10:24:15.545767,1,SAFE
2026-02-02 10:24:21.793551,1,SAFE
2026-02-02 10:24:29.338038,1,SAFE
2026-02-02 10:24:30.397737,1,SAFE
2026-02-02 10:24:39.928576,1,SAFE
2026-02-02 10:24:40.392514,1,SAFE
2026-02-02 10:24:46.731326,1,SAFE
2026-02-02 10:24:53.203090,1,SAFE
2026-02-02 10:24:59.727486,0,SAFE
2026-02-02 10:25:06.087239,0,SAFE
2026-02-02 10:25:12.751761,0,SAFE
2026-02-02 10:25:19.496027,1,SAFE
2026-02-02 10:25:20.966549,1,SAFE
2026-02-02 10:25:28.313011,1,SAFE
2026-02-02 10:25:34.678871,1,SAFE
2026-02-02 10:25:37.056497,1,SAFE
2026-02-02 10:25:45.036513,1,SAFE
2026-02-02 10:25:45.652402,1,SAFE
2026-02-02 10:25:51.783599,1,SAFE
2026-02-02 10:25:59.973061,1,SAFE
2026-02-02 10:26:00.764922,1,SAFE
2026-02-02 10:26:07.646197,1,SAFE
2026-02-02 10:26:14.387871,1,SAFE
2026-02-02 10:26:15.992744,1,SAFE
2026-02-02 10:26:24.028866,1,SAFE
2026-02-02 10:26:25.925839,1,SAFE
2026-02-02 10:26:32.127742,1,SAFE
2026-02-02 10:26:38.301699,1,SAFE
2026-02-02 10:26:44.457464,1,SAFE
2026-02-02 10:26:50.721613,1,SAFE
2026-02-02 10:26:56.930206,1,SAFE
2026-02-02 10:27:03.345573,1,SAFE
2026-02-02 10:27:09.607886,1,SAFE
2026-02-02 10:27:16.030510,1,SAFE
2026-02-02 10:27:22.275372,1,SAFE
2026-02-02 10:27:28.494979,1,SAFE
2026-02-02 10:27:34.813990,1,SAFE
2026-02-02 10:27:43.352139,1,SAFE
2026-02-02 10:27:44.186078,1,SAFE
2026-02-02 10:27:53.488761,1,SAFE
2026-02-02 10:27:53.774573,1,SAFE
2026-02-02 10:28:00.577271,1,SAFE
2026-02-02 10:28:07.002400,1,SAFE
2026-02-02 10:28:13.787463,1,SAFE
2026-02-02 10:28:19.924434,1,SAFE
2026-02-02 10:28:26.277490,1,SAFE
2026-02-02 10:28:32.705440,1,SAFE
2026-02-02 10:28:38.673049,1,SAFE
2026-02-02 10:28:44.885820,1,SAFE
2026-02-02 10:28:51.143207,1,SAFE
2026-02-02 10:28:57.173090,1,SAFE
2026-02-02 10:29:03.301131,1,SAFE
2026-02-02 10:29:09.368936,1,SAFE
2026-02-02 10:29:15.618895,1,SAFE
2026-02-02 10:29:21.510888,1,SAFE
2026-02-02 10:29:27.745648,1,SAFE
2026-02-02 10:29:34.177644,1,SAFE
2026-02-02 10:29:53.588914,1,SAFE
2026-02-02 10:29:59.791659,1,SAFE
2026-02-02 10:30:06.028713,1,SAFE
